Probe Detununing,Rydberg Population
-126856000.0,2.3801996401636582e-05
-126228000.0,2.4136255008676397e-05
-125600000.0,2.4476730421295747e-05
-124972000.0,2.4823563857316272e-05
-124344000.0,2.5176900315557042e-05
-123716000.0,2.553688869307506e-05
-123088000.0,2.5903681906573802e-05
-122460000.0,2.6277437018154184e-05
-121832000.0,2.665831536558102e-05
-121204000.0,2.704648269725092e-05
-120576000.0,2.744210931205673e-05
-119948000.0,2.78453702043483e-05
-119320000.0,2.8256445214204684e-05
-118692000.0,2.867551918323716e-05
-118064000.0,2.9102782116158025e-05
-117436000.0,2.9538429348361372e-05
-116808000.0,2.9982661719759803e-05
-116180000.0,3.0435685755163486e-05
-115552000.0,3.089771385146386e-05
-114924000.0,3.136896447192884e-05
-114296000.0,3.184966234791391e-05
-113668000.0,3.2340038688312474e-05
-113040000.0,3.284033139708785e-05
-112412000.0,3.335078529924253e-05
-111784000.0,3.387165237560163e-05
-111156000.0,3.4403192006803715e-05
-110528000.0,3.494567122690966e-05
-109900000.0,3.5499364987073286e-05
-109272000.0,3.606455642972262e-05
